Qid,Indexed RLS,PK-Indexed RLS,Views
Q1,37.3672,37.0808,37.8472
Q2,7.3758,4.6241,0.6153
Q3,49.9724,50.3518,59.3615
Q4,42.1104,41.5807,43.6707
Q5,51.1206,50.5839,42.6419
Q6,34.8989,34.6177,31.3168
Q7,49.7457,49.4829,44.3912
Q8,51.2586,51.3937,54.6912
Q9,43.8693,43.8854,45.9728
Q10,50.1592,49.5429,45.4463
Q11,0.1487,0.2663,0.2529
Q12,40.9273,40.7307,42.9465
Q13,16.3721,16.9901,20.3824
Q14,34.4997,34.3081,33.5889
Q15,34.4428,34.2383,31.6541
Q16,0.2938,0.7727,0.3655
Q17,67.6524,67.172,N/A
Q18,43.2677,42.8882,75.823
Q19,34.6997,34.1196,31.9244
Q20,34.2245,33.7945,N/A
Q21,111.443,108.7575,N/A
Q22,23.4934,22.9951,13.1549
