Qid,Indexed RLS,PK-Indexed RLS,Views
Q1,51.2539,50.8058,70.0163
Q2,4.3124,4.6257,22.1877
Q3,900,900,900
Q4,66.5410,54.7771,57.2480
Q5,900,900,900
Q6,63.9191,47.1368,900
Q7,900,900,72.4660
Q8,900,900,900
Q9,74.9897,56.7051,57.3470
Q10,900,900,900
Q11,0.3784,0.3525,0.2503
Q12,70.1667,53.4307,72.4554
Q13,900,900,900
Q14,62.9665,49.6806,64.0389
Q15,58.2738,47.3470,58.3861
Q16,0.5102,0.7715,0.5655
Q17,209.1802,900,900
Q18,66.3651,122.9272,67.4941
Q19,53.0651,68.1826,61.8498
Q20,346.5332,900,900
Q21,154.9080,210.8155,207.5222
Q22,900,900,900
