QID,Indexed_RLS_Optimization_ms,Indexed_RLS_Execution_ms,Pure_RLS_Optimization_ms,Pure_RLS_Execution_ms,View_Optimization_ms,View_Execution_ms,Rewrite_Optimization_ms,Rewrite_Execution_ms
Q1,11.62,35905.99,6.1,37463.24,6.88,15853.02,8.56,20917.94
Q2,5.01,144362.16,4.73,132763.65,21.38,156101.5,3.78,5954.97
Q3,6.29,28841.55,3.9,30751.72,6.84,14667.93,6.41,1822.87
Q4,3.96,29160.35,3.64,30800.87,4.71,16436.87,5.05,38016.96
Q5,6.14,924.64,5.84,923.71,9.4,298.42,17.89,43.24
Q6,3.28,29856.11,2.97,31624.41,4.04,4559.32,3.76,7536.09
Q7,4.68,25888.88,4.22,28426.11,9.71,20634.44,16.12,5033.26
Q8,9.51,854.77,6.48,880.16,TIMEOUT,TIMEOUT,15.83,1793.37
Q9,9.88,340188.55,11.18,339171.28,5.1,366609.0,14.47,1729.36
Q10,3.12,25948.83,2.33,28497.4,6.11,14549.61,9.81,3435.22
Q11,3.2,90.43,2.66,88.23,9.62,56.92,10.2,0.73
Q12,2.28,21312.23,3.54,22696.01,5.04,2673.76,3.4,2721.75
Q13,1.08,15788.51,0.87,16167.73,2.3,16099.5,1.76,15518.16
Q14,1.54,28142.17,1.27,30233.81,1.9,3641.59,4.96,8775.71
Q15,2.36,27615.21,3.87,28739.72,2.99,12750.76,6.61,7847.34
Q16,1.69,3843.93,2.73,4014.0,4.72,1399.49,3.15,2398.52
Q17,6.88,129831.59,6.04,121956.89,7.59,39363.73,6.71,4195.16
Q18,10.2,48785.28,4.57,48609.67,8.61,33785.73,5.06,13858.59
Q19,2.97,27243.14,1.89,28046.95,3.61,496.18,8.47,284.06
Q20,4.31,18065.42,3.21,18700.84,9.52,7669.25,3.6,6911.06
Q21,8.71,31.08,7.44,31.48,9.22,40.38,TIMEOUT,TIMEOUT
Q22,1.51,1980.19,0.99,1927.06,3.02,814.33,0.75,560.14
