QID,Indexed_RLS_Optimization_ms,Indexed_RLS_Execution_ms,Pure_RLS_Optimization_ms,Pure_RLS_Execution_ms,View_Optimization_ms,View_Execution_ms
Q1,1.88,2283.29,1.59,3494.21,3.99,3863.43
Q2,4.36,496.99,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
Q3,1.41,11866.41,3.36,19314.75,7.99,82685.33
Q4,0.46,43617.57,0.52,68843.85,2.49,43428.38
Q5,5.19,10343.24,TIMEOUT,TIMEOUT,8.02,86921.97
Q6,0.24,395.23,0.53,621.76,0.43,642.23
Q7,4.29,5434.95,2.69,17575.21,9.97,78279.48
Q8,1.88,2330.35,3.55,17822.46,TIMEOUT,TIMEOUT
Q9,2.24,13873.19,6.97,67862.38,7.95,47080.94
Q10,2.04,101609.02,1.05,104725.45,5.57,82221.18
Q11,1.79,388.34,0.86,603.02,3.47,671.00
Q12,0.81,3217.35,0.75,3132.51,2.08,40649.15
Q13,0.45,163817.04,0.42,102273.99,2.78,82963.26
Q14,0.80,6048.16,0.36,5336.67,1.06,4134.63
Q15,0.29,2238.29,0.24,986.12,1.76,840.40
Q16,0.85,1625.47,0.73,3619.43,2.65,5219.05
Q17,0.91,621.85,0.35,201.77,1.44,4200.26
Q18,1.78,9564.61,0.58,5060.42,6.31,94448.39
Q19,0.76,4612.96,0.74,26916.47,1.80,1562.82
Q20,1.55,6584.15,1.64,39917.00,3.13,6010.26
Q21,1.19,3126.88,2.92,6553.21,TIMEOUT,TIMEOUT
Q22,0.81,61523.14,0.83,90469.68,7.61,90095.21
