Query,Indexed_RLS_Optimization_ms,Indexed_RLS_Execution_ms,Pure_RLS_Optimization_ms,Pure_RLS_Execution_ms
Q1,1.88,2283.29,1.59,3494.21
Q2,4.36,496.99,TIMEOUT,TIMEOUT
Q3,1.41,11866.41,3.36,19314.75
Q4,0.46,43617.57,0.52,68843.85
Q5,5.19,10343.24,TIMEOUT,TIMEOUT
Q6,0.24,395.23,0.53,621.76
Q7,4.29,5434.95,2.69,17575.21
Q8,1.88,2330.35,3.55,17822.46
Q9,2.24,13873.19,6.97,67862.38
Q10,2.04,101609.02,1.05,104725.45
Q11,1.79,388.34,0.86,603.02
Q12,0.81,3217.35,0.75,3132.51
Q13,0.45,163817.04,0.42,102273.99
Q14,0.8,6048.16,0.36,5336.67
Q15,0.29,2238.29,0.24,986.12
Q16,0.85,1625.47,0.73,3619.43
Q17,0.91,621.85,0.35,201.77
Q18,1.78,9564.61,0.58,5060.42
Q19,0.76,4612.96,0.74,26916.47
Q20,1.55,6584.15,1.64,39917
Q21,1.19,3126.88,2.92,6553.21
Q22,0.81,61523.14,0.83,90469.68
