QID,Pure_RLS_Optimization_ms,Pure_RLS_Execution_ms,View_Optimization_ms,View_Execution_ms,Rewrite_Optimization_ms,Rewrite_Execution_ms
Q1,5.41,3471.53,6.49,1554.15,8.15,2485.08
Q2,3.97,650.66,21.2,1894.25,7.47,294.26
Q3,2.89,2851.81,4.24,1467.25,9.9,301.82
Q4,1.96,2988.24,4.81,521.5,4.72,2985.97
Q5,5.57,123.07,11.5,69.44,15.18,25.47
Q6,2.91,2821.97,3.71,561.46,4.87,951.21
Q7,6.36,2647.31,9.65,2284.62,13.16,360.96
Q8,4.77,122.56,TIMEOUT,TIMEOUT,13.64,268.99
Q9,3.65,3188.82,6.32,2576.78,14.07,236.16
Q10,2.53,2639.61,8.21,1423.27,9.47,271.26
Q11,3.71,44.79,9.41,9.36,8.81,0.4
Q12,3.41,1897.27,3.29,361.06,3.69,353.33
Q13,0.68,1347.02,2.13,1383.06,1.68,1356.21
Q14,1.17,2653.71,1.86,488.48,4.19,936.35
Q15,1.74,2623.84,5.13,1242.51,5.97,988.37
Q16,1.42,361.79,4.86,207.96,2.82,103.35
Q17,5.53,9455.02,3.16,3238.45,2.12,341.09
Q18,4.52,4198.77,6.34,4672.46,4.38,1836.52
Q19,2.81,2383.06,2.68,81.95,7.01,57.98
Q20,3.34,1390.37,9.15,560.96,1.89,507.64
Q21,6.23,3.86,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
Q22,1.34,244.34,3.15,170.7,0.55,75.09
