QID,Indexed_RLS_Optimization_ms,Indexed_RLS_Execution_ms,Pure_RLS_Optimization_ms,Pure_RLS_Execution_ms,View_Optimization_ms,View_Execution_ms,Rewrite_Optimization_ms,Rewrite_Execution_ms
Q1,11.09,4450.28,5.85,4511.65,6.36,1901.89,7.42,2077.51
Q2,6.11,199.29,8.85,186.28,12.99,92.55,5.97,265.32
Q3,4.03,4000.23,2.92,3984.48,3.09,1327.18,3.63,226.93
Q4,1.76,4247.72,2.71,4319.23,2.85,4452.38,2.18,2646.84
Q5,4.41,59.35,7.55,76.37,11.6,51.35,11.45,22.43
Q6,2.94,3964.97,2.75,4017.88,3.22,1103.6,4.99,605.23
Q7,9.01,3829.61,6.2,3921.2,6.29,2132.22,13.69,278.51
Q8,9.6,4278.83,6.07,4257.18,8.69,49.21,9.68,205.41
Q9,13.62,4045.8,14.31,4159.15,21.17,1506.21,6.26,183.43
Q10,3.48,3885.11,4.0,4045.23,7.99,1275.54,9.95,224.97
Q11,4.85,28.14,6.34,31.11,8.51,41.56,5.36,0.29
Q12,3.5,3739.95,3.24,3861.99,2.19,1084.08,1.29,257.24
Q13,1.54,845.6,1.8,825.68,2.34,181.78,1.81,1317.83
Q14,1.15,3922.97,1.37,4035.23,1.72,1109.32,3.84,635.3
Q15,3.69,3897.52,3.69,4007.14,5.05,1153.12,3.72,672.05
Q16,2.56,136.83,3.28,140.75,4.69,53.41,3.1,101.09
Q17,4.31,15596.8,5.42,15738.54,3.2,26652.98,5.0,323.42
Q18,3.78,11062.92,3.12,11099.39,6.9,4032.73,4.02,1716.9
Q19,5.35,3803.1,2.08,3911.84,4.92,122.76,7.13,48.79
Q20,7.23,3137.86,7.71,3339.1,5.95,1156.75,3.52,509.71
Q21,6.73,29.01,6.45,29.54,8.52,27.76,TIMEOUT,TIMEOUT
Q22,2.66,109.03,2.28,139.4,3.32,107.59,0.88,69.7
